time,mode,gra,threshold,Sh,max_diameter
2025-12-14 22:36:30,pf,120,200,0.000000,23
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
2025-12-14 22:36:30,pf,120,200,0.100000,17
